Сотрудник,Пол,Возраст,Отработал дней,Разница_изменение_должности,Разница_изменение_оклада,1м Отправленные письма,1м Отредактированные файлы,1м Активные дни (Google),1м Дневное среднее (Отправленные письма),1м Дневное среднее (Отредактированные файлы),1м Факт обучения,1м Дней БЛ,1м Количество отпусков (Основной),1м Количество дней (Основной),1м Количество отпусков (За свой счет),1м Количество дней (За свой счет),1м Всего часов (ACMS),1м Дней на работе (ACMS),1м Среднее время на работе (ACMS),1м Переработка,1м Удаленная работа,2м Отправленные письма,2м Отредактированные файлы,2м Активные дни (Google),2м Дневное среднее (Отправленные письма),2м Дневное среднее (Отредактированные файлы),2м Факт обучения,2м Дней БЛ,2м Количество отпусков (Основной),2м Количество дней (Основной),2м Количество отпусков (За свой счет),2м Количество дней (За свой счет),2м Всего часов (ACMS),2м Дней на работе (ACMS),2м Среднее время на работе (ACMS),2м Переработка,2м Удаленная работа,3м Отправленные письма,3м Отредактированные файлы,3м Активные дни (Google),3м Дневное среднее (Отправленные письма),3м Дневное среднее (Отредактированные файлы),3м Факт обучения,3м Дней БЛ,3м Количество отпусков (Основной),3м Количество дней (Основной),3м Количество отпусков (За свой счет),3м Количество дней (За свой счет),3м Всего часов (ACMS),3м Дней на работе (ACMS),3м Среднее время на работе (ACMS),3м Переработка,3м Удаленная работа,Уволен,Отработал месяцев,Изменение должности (в месяцах),Изменение оклада (в месяцах),Количество отпусков (Основные отпуска),Количество дней (Основные отпуска),Количество отпусков (Отпуска за свой счет),Количество дней (Отпуска за свой счет),Факты обучения,Больничных дней,Средняя переработка за три месяца,2-1 Отн. изменение активности (Отправленные письма),2-1 Отн. изменение активности (Отредактированные файлы),2-1 Отн. изменение активности (Время на работе),2-1 Отн. изменение активности (Активных дней),3-2 Отн. изменение активности (Отправленные письма),3-2 Отн. изменение активности (Отредактированные файлы),3-2 Отн. изменение активности (Время на работе),3-2 Отн. изменение активности (Активных дней)
6cb16d5872ddf3e6d66368f3bca42b250b5a403eb2814fc1b1c8c0bf1a0861b6,Мужской,29.0,539.0,-1.0,539.0,155.0,3.0,24,6.458333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0,88.44944444444444,13.0,6.803803418803418,0.0,0,279.0,1.0,23.0,12.130434782608695,0.0434782608695652,0.0,0.0,1.0,7.0,0.0,0.0,85.78972222222222,13.0,6.599209401709402,0.0,0.0,407.0,0.0,25.0,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.50777777777778,18.0,6.02820987654321,0.0,0.0,0,17.966666666666665,-1.0,17.966666666666665,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8782608695652174,-0.6521739130434784,-0.030070536213404886,-0.041666666666666664,0.34207885304659513,-1.0,-0.08652544424765263,0.08695652173913043
b20d006cc40d753441ac14aa4d6e1b17ee04408c68467bcbd3e33d5ba4a29940,Женский,21.0,358.0,-1.0,-1.0,184.0,26.0,23,8.0,1.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,83.5838888888889,14.0,5.9702777777777785,0.0,0,294.0,13.0,26.0,11.307692307692308,0.5,0.0,0.0,0.0,0.0,0.0,0.0,146.21777777777777,19.0,7.695672514619883,0.0,0.0,114.0,14.0,22.0,5.181818181818182,0.6363636363636364,0.0,0.0,1.0,7.0,0.0,0.0,102.10916666666668,13.0,7.854551282051282,0.0,0.0,0,11.933333333333334,-1.0,-1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.41346153846153855,-0.5576923076923077,0.28899739694931253,0.13043478260869565,-0.5417439703153989,0.2727272727272727,0.020645208996298688,-0.15384615384615385
6362266aa19a113d3865682f4d710db06e8bbfaa2c6340878d0758428b196d2e,Мужской,47.0,288.0,80.0,64.0,38.0,25.0,18,2.111111111111111,1.3888888888888888,0.0,0.0,1.0,5.0,1.0,1.0,95.25,18.0,5.291666666666667,0.0,0,10.0,112.0,8.0,1.25,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,9.0,1.2222222222222223,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,9.6,2.6666666666666665,2.1333333333333333,2.0,6.0,3.0,3.0,0.0,0.0,0.0,-0.40789473684210525,9.08,-1.0,-0.5555555555555556,-0.022222222222222143,-0.9920634920634921,0.0,0.125
4a846608589e281e6d8cd362d2b555f5a23370aff0b7f0797c4d69e3a83d6099,Мужской,38.0,2353.0,305.0,64.0,10.0,8.0,9,1.1111111111111112,0.8888888888888888,0.0,8.0,1.0,5.0,2.0,2.0,21.366666666666667,8.0,2.6708333333333334,0.0,0,2.0,13.0,14.0,0.1428571428571428,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,21.190277777777776,6.0,3.531712962962963,0.0,0.0,7.0,19.0,16.0,0.4375,1.1875,0.0,0.0,0.0,0.0,1.0,1.0,45.22222222222222,16.0,2.826388888888889,0.0,0.0,0,78.43333333333334,10.166666666666666,2.1333333333333333,1.0,5.0,3.0,3.0,0.0,8.0,0.0,-0.8714285714285714,0.044642857142857234,0.32232622638238856,0.5555555555555556,2.0625000000000013,0.2788461538461538,-0.19971160778658975,0.14285714285714285
9eea0d4b6cf2177706b0d336b831ee70ecf12ec65e5f95dcde7d0c103022fe95,Мужской,37.0,532.0,-1.0,273.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,17.733333333333334,-1.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33c8ad190448ab30c7ec3e0479e71b6150141122915d1862bba27a8fd06b861a,Мужской,23.0,538.0,-1.0,-1.0,11.0,0.0,8,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.62916666666666,21.0,8.17281746031746,0.1728174603174608,0,11.0,0.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.42527777777778,14.0,7.8875198412698415,0.0,0.0,3.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.76333333333334,17.0,7.515490196078431,0.0,0.0,0,17.933333333333334,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03490811099512032,0.0,0.09090909090909091,0.0,-0.0471668728165781,-0.75
3a8822f82cd3ea7c62ad87199579d41770a81469c354254c64f28e95f035a93c,Женский,28.0,1108.0,-1.0,137.0,150.0,0.0,25,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,88.96666666666667,14.0,6.354761904761905,0.0,0,142.0,0.0,22.0,6.454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.61722222222222,17.0,7.036307189542484,0.0,0.0,172.0,1.0,22.0,7.818181818181818,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,121.00833333333334,19.0,6.368859649122808,0.0,0.0,0,36.93333333333333,-1.0,4.566666666666666,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.07575757575757569,0.0,0.10724953900631058,-0.12,0.21126760563380292,-2.0,-0.09485764655239196,0.0
840fbe8f902652b8cf87ef55a024ac75b3f4e478a07c67edc758037979be19c8,Женский,25.0,536.0,-1.0,0.0,224.0,0.0,25,8.96,0.0,0.0,0.0,1.0,6.0,0.0,0.0,26.166666666666668,15.0,1.7444444444444445,0.0,0,237.0,0.0,22.0,10.772727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.654722222222222,11.0,1.5140656565656565,0.0,0.0,299.0,2.0,23.0,13.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,25.63055555555556,17.0,1.5076797385620917,0.0,0.0,0,17.866666666666667,-1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.20231331168831146,0.0,-0.13206427330631157,-0.12,0.20675105485232081,-2.0,-0.0042177285878407245,0.045454545454545456
8c2f419da737d43de9e479b92095f7b150c9cad714c260e951c7168c543feb84,Женский,21.0,254.0,-1.0,-1.0,149.0,0.0,17,8.764705882352942,0.0,0.0,0.0,1.0,7.0,0.0,0.0,95.53916666666667,15.0,6.3692777777777785,0.0,0,274.0,32.0,24.0,11.416666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,114.05527777777776,20.0,5.702763888888889,0.0,0.0,261.0,1.0,24.0,10.875,0.0416666666666666,0.0,0.0,0.0,0.0,1.0,1.0,94.23333333333332,20.0,4.711666666666667,0.0,0.0,0,8.466666666666667,-1.0,-1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.30257270693512284,-2.0,-0.10464512808882931,0.4117647058823529,-0.047445255474452504,-0.9687500000000001,-0.1737924349547855,0.0
52d0b0b8ffeab763c7b29d446c7e5bbed986e7669d080ab5b4993068d1bf863f,Мужской,33.0,3114.0,30.0,1856.0,54.0,39.0,22,2.4545454545454546,1.7727272727272727,0.0,0.0,1.0,14.0,0.0,0.0,0.6288888888888889,2.0,0.3144444444444444,0.0,0,58.0,58.0,26.0,2.230769230769231,2.230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,6.989722222222222,3.0,2.3299074074074078,0.0,0.0,55.0,57.0,24.0,2.2916666666666665,2.375,0.0,0.0,0.0,0.0,0.0,0.0,11.460277777777778,3.0,3.8200925925925926,0.0,0.0,0,103.8,1.0,61.86666666666667,1.0,14.0,0.0,0.0,0.0,0.0,0.0,-0.09116809116809116,0.25838264299802766,6.409599528857481,0.18181818181818182,0.027298850574712544,0.06465517241379307,0.6395898740213803,-0.07692307692307693
